证券代码,证券简称,GICS行业名称,证监会行业名称,省份,专利数量,研发人员占比(%),研发费用总额(元),研发费用总额-占资产比(%),研发费用总额-占营业收入比(%),研发费用总额-占营业总成本比(%),研发项目个数,营业收入增长率(%),营业总收入增长率(%),营业利润增长率(%),净资产收益率ROE(摊薄)(%),净资产收益率ROE(加权)(%),净资产收益率ROE(扣除)(%),总资产报酬率(ROA)(%),资产总计(元),资产负债率(%),Z指数,Q_2021,Q_2022,log_Q_2021,log_Q_2022,log_Asset,score
2,万科A,房地产管理和开发,房地产业,广东,0,0,0,0,0,0,0,0.0804,0.0804,-0.343,9.546,9.7832,9.546,3.0993,1.94E+12,79.7398,1.705810398,0.996975,0.926736,-0.003029585,-0.076086544,28.29300685,0.520371686
12,南玻A,建筑材料,非金属矿物制品业,广东,323,1.45,551196983,2.7644,4.04,5.1589,2,0.2772,0.2772,0.7366,13.3804,14.1326,13.3804,10.5633,19939364510,40.4872,3.935233161,1.215201,1.237551,0.194909495,0.213134427,23.71596173,0.011581921
21,深科技,电脑与外围设备,计算机、通信和其他电子设备制造业,广东,43,2.01,310326547.1,1.1473,1.88,1.9462,7,0.1016,0.1016,-0.0896,7.8745,8.8963,7.8745,4.5512,27048915811,57.5808,5.052708638,1.943666,1.214297,0.664575881,0.194165309,24.02091276,0.000285714
26,飞亚达,专营零售,零售业,广东,50,2.52,57802569.17,1.4062,1.1,1.2228,5,0.2357,0.2357,0.3589,12.8712,13.3435,12.8712,12.7838,4110579952,26.6957,21.01648352,1.727411,1.209139,0.546623756,0.189908536,22.13682996,0.003008239
28,国药一致,医疗保健设备与用品,批发业,广东,0,0,0,0,0,0,0,0.146,0.146,-0.0977,8.9543,9.2572,8.9543,5.2891,42783682432,57.876,22.24603175,0.987177,0.892264,-0.012905924,-0.113993226,24.47942262,0.0003003
31,大悦城,房地产管理和开发,房地产业,广东,0,0,14542972.36,0.0068,0.03,0.0394,0,0.1084,0.1084,-0.0653,0.5707,0.5782,0.5707,2.3957,2.13E+11,75.5127,2.464,0.936142,0.930819,-0.065988105,-0.071690435,26.08327598,0.441118421
34,神州数码,工业集团企业,批发业,广东,0,11.38,240321435.1,0.6161,0.2,0.1984,6,0.3294,0.3294,-0.4655,3.9154,4.4169,3.9154,2.3438,38953378842,83.0145,2.850364964,1.150589,1.066996,0.140273985,0.064847223,24.38563135,0.003055556
63,中兴通讯,通信设备,计算机、通信和其他电子设备制造业,广东,2046,46,1.88E+10,11.1422,16.42,17.2685,4,0.1288,0.1288,0.5859,13.2336,14.3765,13.2336,5.9137,1.69E+11,68.4246,1.339622642,1.466372,1.265259,0.382791323,0.235276844,25.85176372,0.02390036
66,中国长城,电脑与外围设备,计算机、通信和其他电子设备制造业,广东,40,31.34,1383301878,4.2289,7.78,7.9128,0,0.2315,0.2315,-0.2917,6.1559,6.4028,6.1559,3.4186,32710739585,67.0954,21.09183673,2.136661,1.597175,0.75924433,0.468236444,24.21096929,0.000278917
90,天健集团,建筑与工程,土木工程建筑业,广东,3,3.03,416461502.8,0.6961,1.79,2.0661,0,0.3588,0.3588,0.2804,15.2168,16.3417,15.2168,5.2042,59824016392,78.5596,1.457763975,1.000995,0.986379,0.000994505,-0.013714617,24.81467303,0.238898164
100,TCL 科技,家庭耐用消费品,计算机、通信和其他电子设备制造业,广东,304,16.14,8772389079,2.8391,5.36,5.8868,0,1.1328,1.1305,2.2375,23.3708,26.0751,23.3708,7.0253,3.09E+11,61.2464,1.558490566,1.131842,0.840977,0.123846394,-0.173190968,26.45574309,0.046187532
157,中联重科,机械制造,专用设备制造业,湖南,800,27.82,4229711873,3.4665,6.3,6.9685,21,0.0311,0.0311,-0.153,11.0252,12.1024,11.0252,6.7586,1.22E+11,52.2225,1.260387812,1.298306,0.987525,0.261060338,-0.012553466,25.52743573,0.000318187
301,东方盛虹,化学制品,化学纤维制造业,江苏,0,9.23,1429173316,1.0823,2.76,3.1342,0,1.2708,1.2708,13.1815,16.4537,20.1222,16.4537,5.4715,1.32E+11,77.7216,8.261183261,1.197499,1.137522,0.180235215,0.128852212,25.60608703,0.015904593
333,美的集团,家庭耐用消费品,电气机械和器材制造业,广东,5411,10.92,12014907000,3.0971,3.52,3.8414,7,0.2006,0.2018,0.0568,22.8831,23.5771,22.8831,9.0412,3.88E+11,65.2464,1.782433984,2.202418,1.613216,0.789555848,0.478229702,26.68413226,0.0003663
401,冀东水泥,建筑材料,非金属矿物制品业,河北,3,2.59,99681247.19,0.1652,0.27,0.3073,5,0.0242,0.0242,-0.262,8.8348,11.3499,8.8348,10.0451,60330436253,44.0104,2.574912892,0.846624,0.984904,-0.166498603,-0.015211104,24.82310256,0.014739884
403,派林生物,生物科技,医药制造业,山西,0,13.76,63402673.73,0.8945,3.22,4.2625,0,0.878,0.878,1.09,6.1822,10.7273,6.1822,6.614,7087797977,10.7236,1.672743847,3.021952,2.035435,1.10590298,0.710709555,22.68164055,0.01
408,藏格矿业,化学制品,化学原料和化学制品制造业,青海,0,2.58,17358067.13,0.1634,0.48,0.8648,7,0.9031,0.9031,4.293,15.0981,16.4337,15.0981,15.9534,10624520306,11.0191,2.225313693,1.302631,4.186413,0.264386065,1.431844281,23.0864304,0.00022779
