"V1","Freq"
"不错",50545
"喜欢",14765
"屏幕",10700
"满意",10376
"感觉",10359
"电池",8851
"质量",7816
"垃圾",7404
"很快",7289
"客服",7208
"速度",7172
"物流",7125
"收到",7039
"快递",6573
"支持",6287
"高",6097
"价格",6036
"还行",5760
"性价比",5752
"外观",5697
"流畅",5464
"差",5461
"老人",5134
"购买",5095
"手感",4902
"充电",4840
"拍照",4785
"评价",4767
"值得",4741
"好评",4586
"功能",4339
"卡",4307
"声音",4306
"朋友",4097
"不好",4019
"运行",3908
"发热",3802
"耳机",3769
"送货",3692
"换",3535
"购物",3430
"售后",3353
"耐用",3269
"包装",3233
"服务",3216
"坏",3213
"信号",3192
"发现",3187
"退货",3179
"正品",3152
"漂亮",3088
"降价",3086
"好看",3052
"还好",3041
"便宜",3012
"失望",2994
"小米",2880
"软件",2870
"三星",2814
"发货",2691
"内存",2666
"不行",2652
"速度快",2592
"老爸",2561
"电话",2474
"真心",2466
"慢",2446
"苹果",2401
"赞",2392
"时间",2353
"联想",2311
"指纹",2309
"适合",2294
"清晰",2287
"下单",2267
"产品",2256
"很漂亮",2246
"妈妈",2223
"做工",2210
"赠品",2166
"膜",2163
"开机",2156
"像素",2149
"机器",2122
"效果",2122
"摄像头",2110
"配置",2078
"发票",2047
"体验",2001
"信赖",1983
"玩",1965
"太差",1927
"实惠",1904
"显示",1895
"退",1887
"没用",1880
"申请",1870
"性能",1859
"死机",1821
"打开",1807
