手机编号,商品标题,价格,品牌,机身厚度,机身重量,屏幕尺寸,ROM内存,前置摄像头像素,后置摄像头像素,指纹识别,GPS定位,促销信息,总评论数,好评数,中评数,差评数
2200684,自营 360手机 奇酷（QiKU）旗舰版 辰光银 移动联通4G手机 双卡双待,899,360,8.6,192,6,16,,1300,1,1,0,15710,14822,474,414
2766752,自营 360手机 F4 2GB+16GB 魔力白 移动4G手机 双卡双待,499,360,9.4,128,5,16,500,1300,,1,0,51329,48781,1510,1038
2876449,自营 360手机 N4 全网通 4GB+32GB 阳光白 移动联通电信4G手机 双卡双待,999,360,8.35,156.5,5.5,32,500,1300,1,1,1,122745,118606,2377,1762
3097849,自营 360手机 Q5 4GB+128GB 全网通 流光金 移动联通电信4G手机双卡双待,1799,360,8.7,164,5.5,128,1300,1300,1,1,0,9693,9222,235,236
3235724,自营 360手机 N4S 全网通版 流光金 4GB+32GB 移动联通电信4G手机 双卡双待,1199,360,8.35,169,5.5,32,800,1600,1,1,1,126390,120979,3040,2371
3398125,自营 360手机 N4A 全网通 3GB+32GB 流光金 移动联通电信4G手机 双卡双待,899,360,8.2,167,5.5,32,500,1300,1,1,1,6310,6008,175,127
3772022,自营 360手机 奇酷（QiKU）旗舰版 辰光银 移动联通4G手机 双卡双待,899,360,8.6,170,6,16,,1300,1,1,0,438,407,16,15
3783186,自营 360手机 Q5 4GB+128GB 全网通 流光金 移动联通电信4G手机双卡双待,1799,360,8.7,164,5.5,128,1300,1300,1,1,1,362,343,12,7
3828650,自营 360手机 N4S 全网通 高配骁龙版 流光金 4GB+64GB 移动联通电信4G手机 双卡双待,1299,360,8.35,169,5.5,64,800,1600,1,1,0,126390,120979,3040,2371
1022456996,京东配送 21KE MC001S 白色 移动联通2G 简单老人手机,299,21KE, , ,3.5,,,30,0,0,0,24425,23545,591,289
1449174881,京东配送 21KE MC002C 移动3G智能老人手机 黑色,399,21KE, , ,4,4,0,,0,1,0,27163,26220,581,362
1665060438,京东配送 21KE F1 移动联通2G老人手机 黑色,259,21KE, , ,,,,0,0,0,0,8875,8568,174,133
1676868000,京东配送 21KE F1 移动联通2G老人手机 红色,259,21KE, , ,,,,0,0,0,0,8875,8568,174,133
10162503058,京东配送 21KE M3 全网通高配版移动联通电信4G手机 富贵黄 常规版,999,21KE, , ,4.7,32,200,800,0,1,0,364,338,16,10
10162503062,京东配送 21KE M3 全网通高配版移动联通电信4G手机 炫丽金 常规版,999,21KE, , ,4.7,32,200,800,0,1,0,364,338,16,10
10253816189,京东配送 21KE C1移动/联通2G老人手机 黑色,179,21KE, , ,2.4,,,0,0,0,0,901,870,21,10
10393148616,京东配送 21KE M2S 16GB 移动4G智能老人手机 黑色,499,21KE, , ,4,16,30,500,,1,0,2071,2008,41,22
10393148617,京东配送 21KE M2S 16GB 移动4G智能老人手机 白色,499,21KE, , ,4,16,30,500,,1,0,2071,2008,41,22
10669260214,京东配送 21KE M3L 移动4G智能老人手机 钛晶灰 标准版,699,21KE, , ,5,16,200,800,0,1,0,318,299,13,6
10669260216,京东配送 21KE M3L 移动4G智能老人手机 富贵金 标准版,699,21KE, , ,5,16,200,800,0,1,0,319,300,13,6
10669260220,京东配送 21KE M3L 移动4G智能老人手机 珊瑚粉 标准版,699,21KE, , ,5,16,200,800,0,1,0,318,299,13,6
10712008853,京东配送 21KE M3L 3GB+32GB 移动4G智能老人手机 富贵金 高配版,899,21KE, , ,5,32,200,800,0,1,0,122,115,6,1
1022456037,京东配送 21KE MC001S 黑色 移动联通2G 简单老人手机,299,21KE, , ,3.5,,,30,0,0,0,73431,70437,2061,933
1624885,自营 HTC One E9（E9t） 臻珠白 移动4G手机 双卡双待,899,HTC, ,146.6, , ,,1300, , ,0,1948,1732,140,76
1778527,自营 HTC ONE ME（M9et） 尚雅灰 移动4G手机 双卡双待,1399,HTC,9.75,155,5.2,32,,2000,1,1,0,423,364,35,24
2166485,自营 HTC ONE A9 冰原银 移动联通双4G手机,2199,HTC,7.26,143,5,16,400,1300,1,1,0,4962,4681,162,119
2288566,自营 HTC One X9 峭壁灰 移动联通双4G公开版 双卡双待,1999,HTC,7.99,170,5.5,32,500,1300,0,1,1,2294,2178,75,41
2676517,自营 HTC 10 炫光银 移动联通4G手机,3799,HTC,9.09,161,5.2,64,500,1200,1,1,1,730,689,24,17
2981912,自营 HTC Desire 830 金酪黑巧 移动联通双4G手机,1099,HTC,7.79,156,5.5,32,400,1300,0,1,1,2044,1948,48,48
3548595,自营 HTC D10w Desire 10 pro 骑士白 全网通4GB+64GB 移动联通电信4G手机 双卡双待,2599,HTC,7.86,165,5.5,64,1300,2000,1,1,0,548,484,37,27
2589808,自营 LG G5（H868）冰月银 移动联通电信4G 双卡双待,3699,LG,7.7,159,5.3,32,800,1600,1,1,1,10267,9774,249,244
2589810,自营 LG G5（H868）花漾粉 移动联通电信4G 双卡双待,3699,LG,7.7,159,5.3,32,800,1600,1,1,1,10267,9774,249,244
2589814,自营 LG G5（H868）流光金 移动联通电信4G 双卡双待,3599,LG,7.7,159,5.3,32,800,1600,1,1,1,10269,9775,250,244
2589818,自营 LG G5（H868）苍穹灰 移动联通电信4G 双卡双待,3699,LG,7.7,159,5.3,32,800,1600,1,1,1,10267,9774,249,244
2972172,自营 LG G5 SE（H848）花漾粉 移动联通电信4G 双卡双待,2999,LG,7.7,157,5.3,32,800,1600,1,1,1,10267,9774,249,244
2972174,自营 LG G5 SE（H848）冰月银 移动联通电信4G 双卡双待,2999,LG,7.7,157,5.3,32,800,1600,1,1,1,10267,9774,249,244
2972184,自营 LG G5 SE（H848）流光金 移动联通电信4G 双卡双待,2999,LG,7.7,157,5.3,32,800,1600,1,1,1,10267,9774,249,244
2972186,自营 LG G5 SE（H848）苍穹灰 移动联通电信4G 双卡双待,2999,LG,7.7,157,5.3,32,800,1600,1,1,1,10269,9775,250,244
2022008,自营 OPPO A33 2GB+16GB内存版 白色 移动4G手机,999,OPPO,7.55,146,5,16,500,800,0,1,0,19461,18564,566,331
2473905,自营 OPPO R9 4GB+64GB内存版 玫瑰金 全网通4G手机 双卡双待,2499,OPPO,6.6,145,5.5,64,1600,1300,1,1,1,200632,193516,3629,3487
2848935,自营 OPPO A37 2GB+16GB内存版 玫瑰金 全网通4G手机 双卡双待,1299,OPPO,7.68,140,5,16,500,800,0,1,0,21184,20266,605,313
2951512,自营 OPPO A59 3GB+32GB内存版 玫瑰金 全网通4G手机,1799,OPPO,7.38,160,5.5,32,800,1300,1,1,0,32935,31607,801,527
3953254,自营 OPPO R9s 全网通4G+64G 双卡双待手机 黑色,2799,OPPO,6.58,145,5.5,64,1600,1600,1,1,0,22702,22091,313,298
3953282,自营 OPPO A59s 4GB+32GB内存版 玫瑰金 全网通4G手机 双卡双待,1999,OPPO,7.38,160,5.5,32,1600,1300,1,1,0,1209,1164,25,20
10065238236,京东配送 vivo Y51A 高配版 全网通4G手机 双卡双待 流光白,1098,vivo, , ,5,16,500,800,0,1,0,20524,19626,567,331
10150492498,京东配送 vivo Xplay5 全网通 4GB+128GB 移动联通电信4G手机 双卡双待 香槟金,3298,vivo, , ,,128,800,1600,1,1,0,17857,17335,277,245
10183487366,京东配送 vivo X6S 全网通 4GB+64GB 移动联通电信4G手机 双卡双待 金色,2298,vivo, , ,5.2,64,800,1300,1,1,0,41065,39730,773,562
10183556899,京东配送 vivo X6SPlus 全网通 4GB+64GB 移动联通电信4G手机 双卡双待 金色,2598,vivo, , ,5.7,64,800,1600,1,1,1,9975,9665,165,145
10429992152,京东配送 vivo X7 全网通 4GB+64GB 移动联通电信4G手机 双卡双待 金色,2498,vivo, , ,5.2,64,1600,1300,1,1,0,70305,68649,909,747
10474018960,京东配送 vivo X7Plus 全网通 4GB+64GB 移动联通电信4G手机 双卡双待 金色,2798,vivo, , ,5.7,64,1600,1600,1,1,0,41072,40183,493,396
10474018961,京东配送 vivo X7Plus 全网通 4GB+64GB 移动联通电信4G手机 双卡双待 玫瑰金,2798,vivo, , ,5.7,64,1600,1600,1,1,0,41072,40183,493,396
10782445805,京东配送 vivo Y55 全网通 2GB+16GB 移动联通电信4G手机 双卡双待 金色,1298,vivo, , ,5.2,16,500,800,0,1,0,2401,2302,54,45
1869067,自营 ZUK手机（z1221）深空灰 64GB 移动联通电信4G手机 双卡双待,1199,ZUK, ,175, , ,800,1300, , ,0,14977,14148,462,367
3022599,自营 ZUK Z2手机（Z2131） 3G+32G 黑色 移动联通电信4G手机 双卡双待,1599,ZUK,8.45,149,5,32,800,1300,2,2,0,8395,7797,290,308
3352168,自营 ZUK Z2 Pro手机（Z2121）尊享版 6G+128G 钛晶黑 移动联通电信4G手机 双卡双待,2299,ZUK,,145,5.2,128,800,1300,2,2,0,25734,24381,813,540
3352172,自营 ZUK Z2 Pro手机（Z2121）尊享版 6G+128G 陶瓷白 移动联通电信4G手机 双卡双待,2299,ZUK,,145,5.2,128,800,1300,2,2,0,25734,24381,813,540
3352192,自营 ZUK Z2手机（Z2131） 4G+64G 白色 移动联通电信4G手机 双卡双待,1799,ZUK,8.45,149,5,64,800,1300,2,2,0,8395,7797,290,308
3352194,自营 ZUK Z2手机（Z2131） 4G+64G 黑色 移动联通电信4G手机 双卡双待,1799,ZUK,8.45,149,5,64,800,1300,2,2,0,8396,7798,290,308
3352196,自营 ZUK Z2手机（Z2131） 3G+32G 白色 移动联通电信4G手机 双卡双待,1199,ZUK,8.45,149,5,32,800,1300,2,2,1,8396,7798,290,308
3352198,自营 ZUK Z2 Pro 旗舰版 4G+64G 陶瓷白 移动联通电信4G手机 双卡双待,2299,ZUK,,145,5.2,64,800,1300,2,2,1,25734,24381,813,540
10285129720,ZUK z1221 4G手机 双卡双待 白色 全网通(3G RAM+64G ROM) 标配,1199,ZUK, , ,5.5,64,800,1300,2,1,0,135,122,3,10
10290135786,ZUK Z1(Z1221) 4G手机 双卡双待 白色 全网通(3G RAM+64G ROM) 标配,1199,ZUK, , ,5.5,64,800,1300,1,1,1,126,116,3,7
10294034772,ZUK Z2 pro 4G手机 白色 全网通4G (6G RAM+128G ROM),2428,ZUK, , ,5.2,,800,1300,1,,1,2,1,0,1
10298652144,ZUK Z2 Pro 4G手机 双卡双待 陶瓷白 全网通尊享版(6G RAM+128G ROM),2288,ZUK, , ,5.2,64,800,1300,2,1,0,242,230,6,6
10522477105,ZUK Z2 手机 象牙白 全网通( 4 GAM + 64 ROM )套餐版,1809,ZUK, , ,5,64,800,1300,2,1,1,34,33,0,1
10524445307,ZUK Z2 移动联通电信4G手机 双卡双待 黑色 全网通4G(4G RAM+64G ROM)标配,1799,ZUK, , ,5,64,,1300,1,1,1,183,168,7,8
10524487393,ZUK Z2 Pro 移动联通电信4G手机 双卡双待 陶瓷白 尊享版(6G RAM+128G ROM)标配,2288,ZUK, , ,5.2,64,800,1300,1,1,0,21,19,0,2
10547388652,ZUK Z2 手机 陶瓷白 全网通(4G RAM+64G ROM) 标配,1799,ZUK, , ,5,64,800,1300,2,1,1,3,3,0,0
10574688383,ZUK Z2 4G手机 双卡双待 陶瓷白 全网通(4G RAM+64G ROM),1799,ZUK, , ,5,,,1300,2,1,0,35,33,1,1
10605170372,ZUK Z2手机 黑色 全网通4G(4GRAM+64GROM)标配,1799,ZUK, , ,5,64,800,1300,1,1,0,78,73,3,2
10609226332,ZUK Z2 4G手机 双卡双待 钛晶黑 全网通(4G RAM+64G ROM),1799,ZUK, , ,5,,800,1300,2,1,0,2,2,0,0
